id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
677,iphone 8,256gb,tmobile,false,88,mint,fair,68478213662861,35-228-2461,Fuscia,Lineage Therapeutics Inc,
678,iphone xr,256gb,verizon,false,97,fair,good,44423307533891,82-083-0589,Pink,Air Liquide America L.P.,
679,iphone x,128gb,att,true,98,fair,mint,10378307237617,51-390-5459,Aquamarine,PT Galenium Pharmasia Laboratories,
680,iphone x,64gb,sprint,true,99,fair,mint,37262403324731,82-913-9351,Turquoise,ProStat First Aid,
681,iphone 8,128gb,sprint,false,98,good,mint,28716447325425,95-133-7245,Indigo,Merck Sharp & Dohme Corp.,
682,iphone xr,256gb,att,false,92,good,good,3796432198182,30-361-9907,Purple,"Physicians Total Care, Inc.",
683,iphone 8 plus,64gb,tmobile,false,92,fair,good,66360057601913,24-260-5070,Blue,Home Sweet Homeopathics,
684,iphone 8 plus,64gb,att,true,89,good,good,19666856136091,46-779-3432,Indigo,"BioActive Nutritional, Inc.",7f2a:b725:915f:3dd3:23ce:28a3:d267:ec6c
685,iphone xr,64gb,tmobile,true,100,good,mint,22003286105225,05-560-8989,Mauv,Costco Wholesale Company,
686,iphone 8 plus,256gb,verizon,false,87,fair,mint,38496099452548,75-654-4775,Fuscia,SHISEIDO AMERICAS CORPORATION,
687,iphone xs,128gb,att,true,96,fair,mint,7394015351232,91-056-7045,Red,"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",
688,iphone 8,64gb,att,true,90,mint,mint,57715716279186,47-748-9366,Yellow,American Health Packaging,
689,iphone xs,64gb,att,false,100,good,good,86470814931056,39-597-8058,Goldenrod,"ALK-Abello, Inc.",
690,iphone 8,128gb,tmobile,false,91,fair,mint,1008882186219,10-633-0502,Goldenrod,Nelson Bach USA Ltd,
691,iphone 8 plus,128gb,tmobile,true,90,fair,fair,96422027868817,73-351-9228,Turquoise,Meijer Distribution Inc,
692,iphone 8,256gb,tmobile,false,87,mint,good,13102767102124,99-225-6882,Indigo,"Alcon Laboratories, Inc.",
693,iphone 8 plus,64gb,att,false,88,mint,good,62943947456435,29-540-6825,Fuscia,"Deseret Biologicals, Inc.",db57:b733:4713:9e5:c43:80c:edd1:ad8d
694,iphone x,64gb,att,true,86,fair,fair,969903399946,05-538-9858,Mauv,"Bestco, Inc.",
695,iphone 8,128gb,verizon,false,97,good,fair,83572099093903,41-381-4826,Khaki,Rite Aid,
696,iphone xs,256gb,att,false,98,good,fair,85124445379867,39-920-2729,Purple,Island Supply Welding Co Inc,
697,iphone x,64gb,tmobile,false,98,fair,mint,36749798131730,61-014-8878,Blue,Richmond Division of Wyeth,
698,iphone 8 plus,64gb,att,true,96,fair,good,7944975385226,61-417-5260,Aquamarine,Mylan Pharmaceuticals Inc.,
699,iphone 8 plus,256gb,att,false,89,good,mint,91121024097777,63-315-1666,Indigo,Neutrogena Corporation,
700,iphone 8,256gb,sprint,true,97,mint,good,28981738540125,81-589-7043,Maroon,Celgene Corporation,
701,iphone 8,256gb,sprint,true,93,good,mint,24313962867356,30-983-4256,Violet,"Native Remedies, LLC",c178:9228:ac21:a74a:5f00:2f7f:bd52:d94b
702,iphone 8 plus,64gb,verizon,true,92,fair,good,18988589281992,22-479-0937,Goldenrod,SHISEIDO AMERICA INC.,
703,iphone 8 plus,64gb,tmobile,false,93,mint,mint,38006189874524,82-626-3104,Goldenrod,"SJ Creations, Inc.",
704,iphone x,128gb,verizon,false,86,mint,fair,35967827573974,08-238-8353,Purple,Supervalu Inc,
705,iphone 8 plus,64gb,att,true,91,mint,good,75731733396794,96-993-2770,Indigo,SUPERVALU INC.,
706,iphone 8,128gb,verizon,true,98,mint,good,2760305494465,71-990-1005,Pink,Apotheca Company,
707,iphone xs,128gb,att,false,97,mint,good,20082966494014,89-598-8161,Aquamarine,Integria Healthcare Ballina,
708,iphone xr,128gb,sprint,false,95,fair,fair,39408227862129,67-034-1183,Violet,"CIMA Laboratories, Inc.",
709,iphone 8,64gb,tmobile,false,99,fair,good,35632413778283,62-687-8601,Maroon,Alloy Oxygen & Welding Supply Co. Inc.,
710,iphone 8,128gb,sprint,false,87,good,good,39155316700493,91-975-1415,Maroon,"KEDRION BIOPHARMA, INC",
711,iphone xs,256gb,att,false,96,fair,good,3502900311967,00-967-4286,Indigo,Cardinal Health,
712,iphone xr,256gb,sprint,true,93,good,fair,93983365857977,31-275-6020,Turquoise,Neutrogena Corporation,
713,iphone 8 plus,64gb,tmobile,true,97,good,fair,70282241013670,50-517-7469,Green,Topco Associates LLC,
714,iphone 8 plus,64gb,att,false,89,fair,fair,81487046583357,36-452-3898,Red,Global Pharmaceuticals,
715,iphone xr,256gb,att,true,90,fair,good,1865236489994,80-325-6948,Mauv,Major Pharmaceuticals,
716,iphone xs,128gb,att,false,95,fair,fair,10488384985844,71-000-5305,Pink,"La Prairie, Inc.",
717,iphone 8,128gb,att,true,89,mint,good,36294158040587,16-773-0824,Blue,Zydus Pharmaceuticals (USA) Inc.,
718,iphone xr,256gb,verizon,false,97,good,mint,1438252280354,28-250-4321,Puce,"Physicians Total Care, Inc.",
719,iphone x,256gb,sprint,true,92,fair,fair,3090735862526,23-996-6516,Indigo,Unit Dose Services,
720,iphone 8,128gb,verizon,false,97,good,mint,32521623680193,25-464-6685,Mauv,"Preferred Pharmaceuticals, Inc.",
721,iphone xs,64gb,verizon,true,99,mint,good,60020811256493,95-894-6786,Goldenrod,CVS Pharmacy,
722,iphone x,128gb,sprint,true,88,good,fair,62172481334873,01-402-8438,Puce,"Allergy Laboratories, Inc.",
723,iphone 8,128gb,sprint,false,87,fair,fair,32685439055688,03-166-1056,Turquoise,Supervalu Inc,
724,iphone xr,256gb,sprint,true,93,good,good,93381097821816,78-185-2500,Purple,"Med Health Pharma, LLC",
725,iphone xs,256gb,tmobile,true,85,good,mint,74291523188406,10-352-6728,Indigo,"Blenheim Pharmacal, Inc.",
726,iphone xs,128gb,verizon,true,91,mint,mint,19479584762988,11-752-8997,Mauv,"Beacon Promotions, Inc.",
727,iphone xs,256gb,sprint,true,99,good,fair,62062797793817,86-045-2727,Goldenrod,STAT RX USA LLC,
728,iphone xr,64gb,sprint,false,93,fair,good,58848689534913,70-253-4889,Aquamarine,"Janssen Pharmaceuticals, Inc.",
729,iphone xs,64gb,verizon,false,97,fair,fair,87781841226847,43-845-0480,Khaki,Haemonetics Manufacturing Inc.,
730,iphone 8,128gb,verizon,true,99,fair,fair,6306425550589,99-158-4591,Purple,L Perrigo Company,
731,iphone x,128gb,tmobile,true,100,good,fair,82634297764174,51-485-2152,Khaki,H E B,
732,iphone xr,256gb,att,true,94,good,mint,58016310229869,14-363-4353,Maroon,"Antigen Laboratories, Inc.",
733,iphone 8,256gb,sprint,false,86,good,mint,73419039490504,91-600-8136,Green,"APP Pharmaceuticals, LLC",
734,iphone xr,64gb,att,false,97,mint,good,4694545789647,78-063-9122,Crimson,Stat Rx USA,
735,iphone xs,64gb,sprint,false,85,good,good,43275457312264,43-894-1647,Green,"Golden State Medical Supply, Inc.",
736,iphone xr,64gb,sprint,false,98,good,mint,98971199579405,23-662-3617,Orange,Ventura Corporation LTD,
737,iphone x,64gb,sprint,true,91,fair,good,96853610854842,22-445-4835,Puce,Mylan Pharmaceuticals Inc.,e029:392e:2054:cf07:abfb:e5bc:96a8:f55f
738,iphone xr,64gb,tmobile,false,97,mint,good,66026982275301,21-951-0311,Indigo,"H.J. Harkins Company, Inc.",
739,iphone 8,256gb,verizon,true,87,mint,good,78860259804360,41-258-9663,Aquamarine,"Western Family Foods, Inc.",
740,iphone xs,256gb,sprint,true,86,mint,good,12983248156570,28-266-8733,Fuscia,AMOREPACIFIC,
741,iphone 8,128gb,sprint,false,86,mint,good,61095610749621,13-895-2572,Indigo,Anna Lotan Ltd,
742,iphone 8,64gb,verizon,true,96,mint,good,87927675377100,71-069-1298,Red,Meijer Distribution,
743,iphone 8,256gb,att,true,86,fair,mint,89277236460067,31-110-7675,Khaki,LAURA GELLER MAKE UP INC.,
744,iphone 8,128gb,tmobile,true,85,good,mint,56217193686459,99-711-8305,Red,"Family Dollar Services, Inc",
745,iphone 8 plus,128gb,sprint,true,93,fair,mint,81059915483080,02-835-9063,Purple,L. Perrigo Company,
746,iphone 8,64gb,sprint,false,85,good,mint,708640228546,55-959-4246,Maroon,"SKINFOOD CO., LTD.",
747,iphone 8 plus,256gb,sprint,false,99,mint,good,58302421180994,96-481-8313,Blue,Bristol-Myers Squibb Company,
748,iphone 8,64gb,sprint,true,99,good,fair,93914974530371,30-765-1151,Goldenrod,"NCS HealthCare of KY, Inc dba Vangard Labs",
749,iphone 8,64gb,sprint,false,92,fair,mint,92315645034101,82-860-2131,Green,UNITHER Manufacturing LLC,
750,iphone 8 plus,256gb,sprint,false,91,mint,mint,14743004602335,81-828-7037,Crimson,"Safecor Health, LLC",
751,iphone xr,128gb,sprint,false,86,fair,mint,91404853279368,95-439-3733,Maroon,Oral BioTech,
752,iphone 8,256gb,att,false,98,fair,fair,7472134705691,05-528-0353,Puce,Bryant Ranch Prepack,
753,iphone 8 plus,128gb,tmobile,true,87,fair,fair,38453892733554,12-032-6967,Violet,"AvKARE, Inc.",
754,iphone 8 plus,64gb,sprint,false,90,good,fair,61117128641181,86-903-7375,Yellow,Parfums Christian Dior,
755,iphone xs,128gb,tmobile,false,88,good,fair,23751326661092,37-445-0859,Green,Barr Laboratories Inc.,
756,iphone 8,128gb,tmobile,false,100,good,fair,7946139398899,87-216-5247,Aquamarine,Sperian Eye & Face Protection Inc,7a59:399b:1267:2d72:101:9744:c764:24f5
757,iphone xs,64gb,tmobile,false,87,good,mint,15329199030740,39-687-1970,Purple,L. Perrigo Company,
758,iphone 8 plus,128gb,verizon,true,96,mint,mint,50301988724030,89-652-4443,Green,"Wal-Mart Stores, Inc",
759,iphone 8,256gb,verizon,false,94,fair,good,82713650747247,07-332-7860,Teal,McKesson,
760,iphone 8,128gb,tmobile,false,95,fair,good,78609768820781,68-258-1188,Orange,B. Braun Medical Inc.,
761,iphone xr,128gb,sprint,true,92,fair,mint,44479166505770,99-274-6879,Fuscia,Industrial Source,
762,iphone x,64gb,verizon,false,98,fair,good,99935604860747,30-636-0453,Puce,Poly Pharmaceuticals,
763,iphone x,128gb,att,true,96,fair,fair,88503276066918,58-295-7845,Crimson,Amerisource Bergen,
764,iphone xs,128gb,tmobile,false,92,good,fair,80911382999940,36-641-4148,Teal,"Pharmaceutical Associates, Inc.",
765,iphone 8,128gb,sprint,true,85,fair,good,19376704848577,56-307-7559,Pink,Apotheca Company,
766,iphone xs,64gb,tmobile,false,94,mint,mint,28843670622953,72-301-4922,Turquoise,"Jazz Pharmaceuticals, Inc.",
767,iphone 8 plus,64gb,tmobile,false,92,fair,mint,39236712979824,79-743-1144,Red,"Nova Homeopathic Therapeutics, Inc.",
768,iphone 8,256gb,sprint,true,94,fair,good,91135564386793,89-106-8327,Khaki,King Bio Inc.,
769,iphone 8,64gb,att,true,94,mint,good,81343061396078,63-223-1655,Purple,Willspeed Technologies LLC,
770,iphone xs,256gb,att,false,99,mint,mint,43446244299350,14-808-5043,Goldenrod,Dolgencorp Inc,
771,iphone 8,256gb,att,false,99,good,mint,52371488229277,44-919-0622,Goldenrod,SAFEWAY INC,
772,iphone 8,64gb,tmobile,true,88,mint,fair,37767678059996,32-692-8602,Mauv,"H and P Industries, Inc. dba Triad Group",
773,iphone xr,256gb,tmobile,true,98,good,fair,68421119418571,91-930-4467,Purple,Micro Labs Limited,
774,iphone xs,256gb,sprint,true,85,fair,mint,85334090176342,83-780-7590,Crimson,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
775,iphone 8 plus,64gb,sprint,true,87,mint,fair,11730361720826,37-288-4661,Turquoise,LLORENS PHARMACEUTICALS INTERNATIONAL DIVISION,
776,iphone 8,128gb,att,true,95,mint,good,92087630601863,25-353-3687,Orange,"Roxane Laboratories, Inc.",
777,iphone xr,128gb,tmobile,false,93,mint,mint,70911728977049,70-675-3595,Blue,"Blenheim Pharmacal, Inc.",
778,iphone x,128gb,verizon,true,94,mint,good,9836315509435,59-081-4734,Yellow,Walgreen Company,
779,iphone 8 plus,64gb,verizon,false,87,mint,fair,31887456844773,68-034-5268,Pink,"PD-Rx Pharmaceuticals, Inc.",
780,iphone xs,256gb,sprint,false,100,fair,good,79582901835997,92-060-7641,Green,"Jets, Sets, & Elephants Beauty Corp.",
781,iphone xr,64gb,att,false,90,fair,good,70878280229265,77-440-4165,Khaki,McKesson,
782,iphone xr,64gb,verizon,false,90,good,fair,32379767553770,85-499-0286,Khaki,"Newton Laboratories, Inc.",
783,iphone 8,64gb,sprint,true,99,fair,fair,38535991063559,44-432-7048,Orange,Kroger Company,
784,iphone 8,128gb,tmobile,false,96,good,mint,43278769915542,58-820-9339,Purple,REMEDYREPACK INC.,
785,iphone x,128gb,sprint,true,90,mint,fair,21164079087081,75-298-4081,Puce,"Prestige Brands Holdings, Inc.",
786,iphone 8,256gb,verizon,false,97,good,fair,1469673707572,90-961-1133,Red,Qualitest Pharmaceuticals,
787,iphone xr,128gb,att,true,99,fair,mint,60496759158114,61-896-1801,Goldenrod,"Prestium Pharma, Inc.",
788,iphone 8 plus,64gb,att,false,97,mint,good,40686057810771,34-919-2345,Teal,Camber Pharmaceuticals Inc.,
789,iphone x,128gb,verizon,true,92,fair,fair,68421027701591,55-539-9280,Mauv,"Safecor Health, LLC",
790,iphone xr,256gb,verizon,false,88,mint,fair,93984346903787,93-186-1078,Orange,Dynarex Corporation,
791,iphone 8,64gb,att,false,87,mint,mint,11048149253908,85-264-8983,Fuscia,Conopco Inc. d/b/a Unilever,
792,iphone xs,128gb,verizon,false,91,good,fair,91651505497705,63-620-3153,Yellow,HyVee Inc,
793,iphone 8,128gb,att,false,96,mint,fair,94384146348713,64-730-2225,Teal,Cardinal Health,cdb7:b2d1:6813:26cf:627a:6a5f:1809:bf8b
794,iphone 8 plus,128gb,att,true,96,fair,good,17822289104016,67-627-9932,Aquamarine,"Advanced Beauty Systems, Inc.",
795,iphone x,256gb,verizon,false,87,mint,good,93778294479033,53-541-5558,Green,"Novartis Consumer Health, Inc.",
796,iphone xs,64gb,sprint,true,92,fair,good,35189055423349,55-928-0403,Orange,WIZCOZ CORPORATION LTD,
797,iphone 8,64gb,verizon,false,92,fair,mint,57699461976712,31-149-9424,Puce,ReadyMeds,
798,iphone xs,256gb,sprint,true,97,fair,fair,83120157120001,54-870-3132,Aquamarine,Carilion Materials Management,
799,iphone xs,256gb,tmobile,true,86,mint,good,29632732402578,98-910-4559,Red,"Physicians Total Care, Inc.",
800,iphone xs,128gb,att,false,100,good,good,76119624487023,57-497-2526,Turquoise,"PharmaDerm, A division of Nycomed US Inc.",
801,iphone xr,64gb,tmobile,true,96,fair,good,82832032540119,61-228-6598,Turquoise,"Novartis Consumer Health, Inc.",
802,iphone 8,128gb,att,false,98,good,mint,50691899356920,05-466-5017,Turquoise,Camber Pharmaceuticals,
803,iphone xr,128gb,tmobile,false,90,fair,good,19456116315713,65-416-8768,Khaki,"Boca Pharmacal, Inc",
804,iphone x,64gb,verizon,true,93,good,fair,65938879419921,04-655-7781,Blue,"Physicians Total Care, Inc.",
805,iphone 8,256gb,tmobile,true,94,good,fair,45292744554853,34-583-8710,Aquamarine,"ALK-Abello, Inc.",827a:efaa:fbb:2e09:4101:88c6:a9b9:7b20
806,iphone xr,64gb,tmobile,true,91,fair,good,3616747277716,18-542-9776,Aquamarine,"Nelco Laboratories, Inc.",
807,iphone 8 plus,128gb,verizon,true,90,fair,fair,44057569114239,17-625-5055,Maroon,State of Florida DOH Central Pharmacy,
808,iphone x,64gb,att,true,93,good,good,60187995768982,23-993-5742,Turquoise,Harmon Stores Inc.,
809,iphone 8,128gb,verizon,false,85,fair,fair,34780016616375,29-713-5501,Orange,"NCS HealthCare of KY, Inc dba Vangard Labs",
810,iphone 8,64gb,sprint,false,94,fair,fair,52042851165538,06-584-8860,Indigo,Mylan Pharmaceuticals Inc.,
811,iphone xr,256gb,tmobile,false,90,good,fair,84887019093228,23-702-5407,Indigo,"Caraco Pharmaceutical Laboratories, Ltd.",d39a:8502:21a3:51c9:43fc:240a:1385:194c
812,iphone 8 plus,256gb,att,true,85,good,mint,38878545978502,20-561-1553,Green,China Ningbo Shangge Cosmetic Technology Corp.,
813,iphone x,256gb,att,true,91,mint,good,32771876506201,82-531-9113,Fuscia,"NCS HealthCare of KY, Inc dba Vangard Labs",
814,iphone xr,64gb,tmobile,false,96,mint,good,80384613812349,80-273-4341,Puce,Bryant Ranch Prepack,
815,iphone xr,128gb,verizon,false,99,good,fair,52464755448506,39-266-6002,Crimson,"Fallien Cosmeceuticals, LTD.",
816,iphone 8 plus,64gb,tmobile,true,94,mint,mint,62993942131105,72-209-5348,Indigo,Neutrogena Corporation,d0ed:16f0:d6c0:e186:3af6:86f:848:f0ae
817,iphone xs,256gb,tmobile,false,91,mint,mint,63902152358364,59-035-3585,Green,"H.J. Harkins Company, Inc.",f4d0:8508:5040:1aef:b5d3:62c4:5aad:2971
818,iphone xs,128gb,tmobile,false,91,mint,mint,37038030816520,34-440-0536,Maroon,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,
819,iphone 8,64gb,sprint,false,96,fair,mint,90162137478978,08-561-8308,Green,Freds Inc,91ce:dbc0:e519:dda0:b62e:199d:6471:ca15
820,iphone 8 plus,64gb,verizon,true,87,good,fair,39342681449951,22-700-1627,Green,Supervalu Inc,
821,iphone 8,64gb,att,true,91,fair,fair,80245706935774,96-778-5081,Mauv,"Janssen Biotech, Inc.",
822,iphone x,128gb,verizon,true,86,fair,fair,56841598661150,72-205-2314,Pink,Cardinal Health,
823,iphone x,256gb,tmobile,false,91,good,fair,71122225883507,99-420-8010,Indigo,Dr. Reddy's Laboratories Limited,
824,iphone 8 plus,64gb,tmobile,false,89,fair,good,80181111039891,38-485-1750,Red,"Life Line Home Care Services, Inc.",
825,iphone xr,64gb,tmobile,true,92,good,mint,13367578672982,82-579-1788,Pink,Rebel Distributors Corp.,
826,iphone 8 plus,256gb,verizon,false,90,mint,good,81248755298989,81-055-1555,Goldenrod,Ventura International LTD,
827,iphone xs,64gb,tmobile,false,86,fair,fair,15941414937529,81-575-2202,Crimson,RITE AID CORPORATION,
828,iphone 8 plus,128gb,att,false,97,mint,fair,29948257237025,80-458-0635,Turquoise,A-S Medication Solutions LLC,
829,iphone 8 plus,256gb,att,false,94,good,fair,75237460154317,59-663-9624,Blue,The Dial Corporation,
830,iphone 8 plus,256gb,tmobile,false,100,mint,fair,35757415509970,19-756-4482,Yellow,Washington Homeopathic Products,
831,iphone 8 plus,128gb,sprint,false,86,mint,good,56128154498984,99-758-1135,Red,Safeway Inc,
832,iphone 8 plus,128gb,sprint,false,88,good,mint,35922968445404,89-459-5016,Fuscia,"Onpoinr, Inc",
833,iphone xs,128gb,att,false,89,fair,good,49702630796408,33-879-8002,Indigo,Laboratoires Clarins S.A.,
834,iphone x,64gb,sprint,true,99,good,fair,76856286162190,53-797-5292,Khaki,Prasco Laboratories,
835,iphone xr,128gb,sprint,false,98,good,good,52087108567869,70-269-8931,Puce,"Natura Bisse International, S.A.",
836,iphone x,256gb,sprint,true,91,fair,fair,37426596650865,87-296-7408,Orange,CVS Pharmacy,
837,iphone xr,64gb,att,false,91,fair,fair,40745117974442,89-681-3591,Aquamarine,Granules India Limited,
838,iphone 8,256gb,verizon,false,100,good,fair,81198908335999,58-495-4756,Orange,"Nelco Laboratories, Inc.",
839,iphone x,64gb,att,true,87,mint,mint,24959560580146,34-355-0027,Violet,"New Horizon Rx Group, LLC",
840,iphone xr,64gb,sprint,true,92,good,good,25443943403197,36-662-1770,Maroon,Singhfam Corporation,
841,iphone 8,128gb,tmobile,false,92,mint,good,88908403347185,14-671-4662,Green,A-S Medication Solutions LLC,
842,iphone x,64gb,tmobile,true,97,fair,mint,77155974968148,59-141-4281,Puce,"Par Pharmaceuticals, Inc.",
843,iphone x,64gb,att,false,91,fair,fair,76013279764301,39-870-9908,Blue,Citron Pharma LLC,
844,iphone xr,256gb,sprint,false,87,mint,good,28342631482090,29-588-1519,Crimson,"Ningbo Dowland Daily Health Co., Ltd",
845,iphone x,256gb,tmobile,false,98,mint,fair,33867115325920,37-897-8698,Goldenrod,"Nelco Laboratories, Inc.",
846,iphone xs,256gb,verizon,true,88,mint,good,3972012566837,28-821-7691,Mauv,"Fallien Cosmeceuticals, LTD.",
847,iphone x,256gb,verizon,false,85,good,mint,67480643002681,35-363-5312,Aquamarine,AN Co Ltd.,
848,iphone xr,64gb,verizon,false,90,fair,mint,97322458293861,55-580-8470,Teal,Jafra cosmetics International,
849,iphone xr,64gb,verizon,false,94,mint,fair,3427504756058,89-957-3760,Blue,Apotheca Company,
850,iphone xs,128gb,verizon,false,90,good,mint,7631139809628,66-765-3343,Fuscia,Bristol-Myers Squibb Company,
851,iphone xr,64gb,tmobile,false,95,fair,good,97174130532653,31-300-5085,Teal,Melaleuca Inc.,
852,iphone 8,128gb,tmobile,false,91,mint,fair,75343349962725,89-295-4764,Crimson,"Synergy Formulas, Inc.",
853,iphone xs,128gb,verizon,false,87,fair,good,52945333138877,90-195-8145,Purple,"Akorn, Inc.",
854,iphone x,64gb,att,false,99,good,good,85522151445587,96-475-6846,Green,"Newton Laboratories, Inc.",
855,iphone x,256gb,sprint,true,94,fair,mint,53382368459348,18-292-2628,Khaki,"Erno Laszlo, Inc.",c9c5:a111:17e2:d9d6:e462:4c7a:9687:c6b1
856,iphone xr,128gb,verizon,true,95,fair,mint,9147681538549,96-626-6631,Puce,Bare Escentuals Beauty Inc.,
857,iphone 8 plus,256gb,att,false,88,good,good,10646142875448,77-723-9249,Aquamarine,Cardinal Health,
858,iphone x,64gb,verizon,true,92,mint,mint,26349749339630,41-599-0410,Purple,SHISEIDO AMERICA INC.,
859,iphone 8 plus,256gb,att,true,94,mint,good,49602301757080,59-602-7729,Red,"Actavis Pharma, Inc.",
860,iphone xr,64gb,sprint,true,92,good,good,41371136912870,96-414-5455,Purple,"Physicians Total Care, Inc.",
861,iphone xs,128gb,tmobile,false,85,mint,fair,59989156317948,04-319-1203,Indigo,Sandoz Inc,
862,iphone xr,64gb,att,true,95,fair,good,75031968725705,48-106-8401,Green,ACELLA PHARMACEUTICALS,
863,iphone 8 plus,128gb,sprint,true,94,good,fair,99349653642061,45-838-8640,Orange,McKesson Packaging Services a business unit of McKesson Corporation,
864,iphone xr,256gb,tmobile,false,96,mint,good,83935266852131,21-666-0787,Pink,Family Dollar,
865,iphone 8 plus,256gb,sprint,true,100,good,good,89795491671251,58-960-4553,Crimson,Eli Lilly and Company,
866,iphone x,64gb,verizon,true,97,fair,good,83904269221402,90-463-9508,Khaki,Amneal Pharmaceuticals,
867,iphone x,128gb,att,false,87,good,fair,74731594214993,91-908-4902,Khaki,"Jazz Pharmaceuticals, Inc.",
868,iphone 8 plus,64gb,tmobile,true,98,mint,mint,21610916350969,03-765-2489,Puce,Costco Wholesale Company,
869,iphone 8 plus,128gb,sprint,true,97,mint,fair,91335755765054,10-696-3773,Khaki,"Enzymatic Therapy, Inc.",
870,iphone xs,256gb,tmobile,false,95,mint,fair,2768271732760,48-677-0426,Violet,Apotex Corp.,
871,iphone xr,64gb,verizon,true,91,good,good,71241311340928,79-330-9387,Violet,Unit Dose Services,
872,iphone xr,256gb,sprint,true,91,mint,mint,14827539738973,02-381-2549,Yellow,Cardinal Health,
873,iphone x,256gb,sprint,false,93,mint,good,61115575590975,14-224-3740,Orange,Ventura International LTD,
874,iphone xs,64gb,att,false,95,mint,mint,87389134182482,29-937-0250,Orange,REMEDYREPACK INC.,
875,iphone x,256gb,verizon,true,99,fair,good,97457225125610,11-912-2954,Turquoise,Sanum Kehlbeck GmbH & Co. KG,
876,iphone 8,64gb,sprint,true,100,good,fair,28164909024109,00-804-1876,Fuscia,"Physicians Total Care, Inc.",
877,iphone x,128gb,tmobile,false,93,good,mint,78577409553418,91-193-9711,Khaki,"Rodan & Fields, LLC",
878,iphone xs,128gb,att,true,99,fair,mint,80930914546588,24-612-8885,Maroon,Uriel Pharmacy Inc.,
879,iphone xr,64gb,verizon,true,95,good,good,92146404178409,66-963-5103,Crimson,STAT Rx USA LLC,
880,iphone xs,128gb,att,false,93,fair,fair,9108238586431,57-426-1326,Orange,Citra Labs LLC,
881,iphone x,256gb,sprint,false,93,mint,fair,9296523807247,31-618-2766,Orange,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",
882,iphone xs,256gb,tmobile,true,93,fair,mint,18360277407102,47-251-4669,Yellow,Topco Associates LLC,
883,iphone xr,64gb,tmobile,true,100,fair,fair,60485762060717,20-702-6226,Mauv,REMEDYREPACK INC.,
884,iphone 8 plus,256gb,verizon,false,99,good,good,10467167303847,17-875-6976,Violet,"Novartis Consumer Health, Inc.",
885,iphone 8,128gb,tmobile,false,91,fair,good,5678544535513,02-840-5410,Yellow,"Poly Pharmaceuticals, Inc.",41b7:5a7e:93eb:987f:6299:49fa:c5eb:652
886,iphone x,256gb,verizon,false,93,mint,mint,64778788571784,48-100-4627,Fuscia,"Supervlau, Inc",f800:96f3:ea38:6ab9:46f1:2ce9:7394:f8d5
887,iphone 8,256gb,att,false,89,good,good,9437836343078,29-295-8528,Yellow,Eli Lilly and Company,
888,iphone 8,128gb,verizon,false,92,good,good,7692153584428,44-261-6771,Green,Washington Homeopathic Products,
889,iphone xs,128gb,tmobile,false,91,good,good,46786833412477,34-681-5563,Puce,"ABBP (ARRINGTON, BATTLE, BELL & PERRY), LLC",
890,iphone xs,64gb,tmobile,false,86,mint,fair,82902274998726,46-430-7105,Puce,INO Therapeutics,
891,iphone x,64gb,verizon,true,91,mint,mint,13614467538341,61-246-6941,Pink,Purdue Products LP,
892,iphone xr,64gb,verizon,true,95,mint,good,96876141431810,97-054-0254,Goldenrod,State of Florida DOH Central Pharmacy,7d21:d36e:f3d4:a9ea:ee39:dc74:4ebb:1761
893,iphone xr,256gb,sprint,false,93,mint,mint,66748575822225,26-651-8400,Goldenrod,Major Pharmaceuticals,
894,iphone x,64gb,tmobile,true,88,fair,good,2112754418225,49-973-4728,Crimson,MWI/VetOne,
895,iphone xs,256gb,sprint,false,99,mint,good,36652339603594,96-589-2916,Red,Sun Pharmaceutical Industries Limited,
896,iphone x,128gb,tmobile,false,93,good,mint,21178502479141,08-032-6654,Green,Dr. Reddy's Laboratories Limited,
897,iphone x,64gb,tmobile,false,93,good,fair,42336635655837,90-262-3279,Red,Ohm Laboratories Inc.,92b7:2889:7bb9:b5f0:4666:e9ad:7b07:e9ed
898,iphone x,128gb,verizon,true,90,fair,mint,84081085553740,98-737-1785,Crimson,"ALK-Abello, Inc.",
899,iphone xr,256gb,sprint,true,88,fair,mint,68369821398148,93-836-4248,Violet,"Watson Pharma, Inc.",
900,iphone x,256gb,tmobile,true,85,mint,fair,74887258403097,53-479-1866,Khaki,VIATREXX BIO INCORPORATED,
901,iphone xs,128gb,sprint,true,97,mint,mint,18229142286872,21-326-9346,Blue,"Chattem, Inc.",267c:3cfc:597:be8:4523:959d:a54f:ef5c
902,iphone xs,256gb,verizon,true,89,good,fair,66336164434049,64-867-3818,Blue,Landy International,
903,iphone 8 plus,128gb,tmobile,true,94,good,fair,89679396388747,53-614-2163,Yellow,Kmart Corporation,3aaa:ce0b:da84:4b4c:3766:f94b:60d6:d166
904,iphone xr,128gb,verizon,false,93,fair,mint,13901793930814,92-779-0785,Violet,RITE AID CORPORATION,
905,iphone 8 plus,64gb,tmobile,true,94,good,fair,55536203877975,92-659-9922,Puce,"Libertas Pharma, Inc.",
